OTTERNO,Date,Ottername,Blood Kit#,Region,PermitType,CaptureTime,General Location,Area,Captur_Loc-N/S,Capture_Loc-E/W,Previously Captured?,Capture Team,Capture Method,Caught with pup?,Caught with others?,Palpably Pregnant?,Right Tags,R-New?,Left Tags,L- New?,R Pit Tag #,R-working?,L Pit Tag #,L-working?,Radio Tag Freq,VHF type,TDR #,Capture Comments,Sex,AgeClass,Grizzle,Nose Wound,Weight (lbs),Weight (kg),Length (cm),Girth (cm),Tail Length (cm),Right paw width (mm),Baculum length (cm),General Tooth Wear,Incisor Comments,Canine Comments,Molar Comments,Canine width (mm),Oral lesions,Age Estimate,Age Estimator,Digital Photo of Mouth,Digital Photo of Nose,Tooth Age Est,Tooth Age Est Quality,Appearance Comments,Pup UON,Pup sex,Pup Weight (kg),Pup Length (cm),Release Type,Release Loc-N/S,Release Loc-E/W
N-1179-03-S,11-Jun-03,907-03M,,BSR,,,,,,,NO,,,NO,NO,NO,PI-1/2-66,NO,CH-1/2-6650-,NO,,NO,,NO,,,,,,,,,,,,,0,,,,,,,3.2,,,,NO,NO,,,,,,,,,,
N-1345-08-S,5-Nov-08,4.605,400,BSR,TINKER/ESTES,10:40,Mill Creek,KIRK,35.95215,-121.496117,NO,BODKIN/ESSLINGER,Wilson Traps/ Divers,NO,YES,NO,WH-4/5-MBA40,YES,CH-1/2-154,YES,,NO,4A3F761C70,YES,164.605,Thermister,890177,,m,a,3,3,58,26.3,125.8,71,31,33.5,17,Heavy,,,,9,,10,STAEDLER,NO,NO,,,VERY WORN TEETH,,,,,Boat Release,N 35?57.108,W 121?29.771
N-1346-08-S,5-Nov-08,4.994,401,BSR,TINKER/ESTES,10:40,Mill Creek,KIRK,35.95215,-121.496117,NO,BODKIN/ESSLINGER,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-,YES,CH-1/2-,YES,,NO,4A391F1874,YES,164.994,Thermister,890178,CAUGHT WITH 1066-08,f,a,3,3,44,19.95,116,72.5,30.5,,,Very Light,,,,4.5,,5,,NO,NO,,,,,,,,Boat Release,N 35?57.108,W 121?29.771
N-1346-08-S,23-Sep-10,4.994,452,BSR,TINKER/ESTES,13:50,WCTL,WCTL,35.959,-121.488183,YES,HATFIELD/HARRIS,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-115,YES,CH-1/2-108,YES,4778655853,YES,4A391F137,YES,164.994,,EXPLANT,,f,a,3,3,46.3,21,117.7,76,31.3,40,,Light,,,FIRST UPPER PREMOLAR MISSING FROM LEFT AND RIGHT SIDE,7,,10,STAEDLER,NO,NO,,,NORMAL,,,,,Boat Release,N 36?00.641,W 121?32.104
N-1347-08-S,5-Nov-08,5.144,402,BSR,TINKER/ESTES,10:45,JADE,JADE,35.910017,-121.472567,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-MBA15,YES,RB-1/2-MBA047,YES,,NO,4A433A1A3E,YES,165.144,Thermister,890179,,f,a,2,2,37.9,17.2,109,73.5,27.9,28.9,,Light,,,,8,,5,STAEDLER,NO,NO,,,"OBSERVED SHIVERING BY CAPTURE TEAM, CODNEM ULCER, HYPEREMIA-BLOODSHOT EYE",,,,,Boat Release,N 35?54.633,W 121?28.469
N-1348-08-S,5-Nov-08,5.093,403,BSR,TINKER/ESTES,10:45,JADE,JADE,35.910017,-121.477567,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-,YES,GO-1/2-,YES,4A330C2948,NO,,NO,165.093,Thermister,890180,,f,a,4,3,48.9,22.2,116,75.4,29.5,40.5,,Moderate,,,,8,,8,STAEDLER,NO,NO,,,,,,,,Boat Release,N 35?54.613,W 121?28.469
N-1349-08-S,5-Nov-08,5.058,404,BSR,TINKER/ESTES,11:07,LOPZ,LOPZ,36.01,-121.56,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-19,NO,LB-1/2-21,NO,,NO,4A4321091F,NO,165.058,Thermister,890181,,f,a,5,3,47,21.3,114.5,77.5,29,43.5,,Light,,BOTH LOWER CANINES BROKEN,,7.6,,,,NO,NO,,,,,,,,Boat Release,N 36?00.546,W 121?33.244
N-1350-08-S,5-Nov-08,1071,406,BSR,TINKER/ESTES,17:00,KIRK,KIRK,35.989633,-121.500583,NO,BODKIN/ESSLINGER,Wilson Traps/ Divers,NO,NO,YES,WH-1/2-21,NO,LG-1/2-48,NO,,NO,4A3F7E2E6E,YES,,,,PREGNANT,f,a,2,1,43,19.5,110,73.5,28.2,36.5,,Moderate,,,,6,,4,STAEDLER,NO,NO,,,PREGNANT,,,,,Boat Release,N 36?59.378,W 121?30.035
N-1351-08-S,5-Nov-08,1072,407,BSR,TINKER/ESTES,17:00,KIRK,KIRK,35.989633,-121.500583,NO,BODKIN/ESSLINGER,Wilson Traps/ Divers,NO,NO,YES,BR-1/2-6503,NO,TQ-1/2-82,NO,,NO,4A3C3C6149,YES,,,,VERY PREGNANT,f,a,3,3,60.1,27.27,117,83.5,29,45,,Light,,,,7.8,,6,STAEDLER,NO,NO,,,VERY PREGNANT,,,,,Boat Release,N 35?59.378,W 121?30.035
N-1352-08-S,6-Nov-08,5.004,408,BSR,TINKER/ESTES,8:35,LOPZ,LOPZ,36.04105,-121.586767,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-26,NO,PI-1/2-21,NO,,NO,4A3B5F7818,NO,165.004,Thermister,890184,,f,a,2,3,35.5,16.1,109,67.5,27.5,39.7,,Moderate,,WORN LOWER LEFT CANINE,,6.6,,4,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?04.069,W 121?36.155
