OTTER NO,recap,DATE,YEAR,LOCATION,STATE,REGION,AREA,LAT,LONG,SEX,WEIGHT,TAIL_LGTH_1,TAIL_LGTH_2,TAIL_LGTH_3,mean_tail_lgth,LGTH1,LGTH2,LGTH3,curvilinear_correction,mean_lgth,true_standard_lgth,body_lgth,CURVE_LGTH1,CURVE_LGTH2,GIRTH1,GIRTH2,mean_girth,PAW,W_PUP,PUP_NUMBER,PUP_SEX,PUP_WGHT,PUP_LGTH,PUP_CURVLGTH,FETUS_PRES,FETUS_NUM,FETUS_SEX,FETUS_WT,FETUS_LTH,FE_REP_CON,FE_REP_STA,PREGNANCY_STATUS,CAN_DIA,FINAL_AGE,AGE_CATEGORY,BACULA_LGTH,comments,Cause_of_death_Capture_method
67001,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,F,20.4,-9,-9,-9,-9,-9,-9,-9,0.974,-9,126.7,-9,130,-9,-9,-9,-9,-9,Y,67002,M,9.5,93.5,96,N,0,.,-9,-9,ANE,M,NP,-9,7,7,-9,.,1
67002,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,9.5,-9,-9,-9,-9,-9,-9,-9,0.974,-9,93.5,-9,96,-9,-9,-9,-9,-9,D,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,0,0,-9,.,1
67003,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,34,-9,-9,-9,-9,-9,-9,-9,0.974,-9,149.1,-9,153,-9,-9,-9,-9,-9,.,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,11,13,15.8,.,1
67004,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,32.2,-9,-9,-9,-9,-9,-9,-9,0.974,-9,143.2,-9,147,-9,-9,-9,-9,-9,.,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,7,7,-9,.,1
67005,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,34,-9,-9,-9,-9,-9,-9,-9,0.974,-9,149.1,-9,153,-9,-9,-9,-9,-9,.,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,7,7,-9,.,1
67006,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,35.8,-9,-9,-9,-9,-9,-9,-9,0.974,-9,147.1,-9,151,-9,-9,-9,-9,-9,.,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,10,7,15.9,.,1
67007,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,F,21.3,-9,-9,-9,-9,-9,-9,-9,0.974,-9,130.6,-9,134,-9,-9,-9,-9,-9,U,.,.,-9,-9,-9,N,0,.,-9,-9,UNI,M,NP,-9,7,7,-9,.,1
67008,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,M,36.7,-9,-9,-9,-9,-9,-9,-9,0.974,-9,142.3,-9,146,-9,-9,-9,-9,-9,.,.,.,-9,-9,-9,.,-9,.,-9,-9,.,.,.,-9,7,7,-9,.,1
67009,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,F,16.8,-9,-9,-9,-9,-9,-9,-9,0.974,-9,121.8,-9,125,-9,-9,-9,-9,-9,Y,.,U,-9,-9,-9,N,0,.,-9,-9,ANE,M,NP,-9,-9,1.5,-9,.,1
67010,0,1967-09-10,1967,adak,Alaska,west aleutians,andreanofs,51.888449,-176.658913,F,22.7,-9,-9,-9,-9,-9,-9,-9,0.974,-9,127.6,-9,131,-9,-9,-9,-9,-9,U,.,.,-9,-9,-9,N,0,.,-9,-9,ANE,M,NP,-9,11,13,-9,.,1
